ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps
1560,954.7088199966124,18441.886299625196,0,0
1565,955.3681859179645,18441.886299625196,0,0
1570,954.8672770371447,18441.886299625196,0,0
1575,954.4213529052217,18441.886299625196,0,0
1580,954.8432990724217,18441.886299625196,0,0
1585,954.5883267136293,18441.886299625196,0,0
1590,954.4955666739393,18441.886299625196,0,0
1595,955.4351385158029,18441.886299625196,0,0
1600,954.0981475947293,18441.886299625196,0,0
1605,955.0650475008252,18441.886299625196,0,0
1610,955.0568952283832,18441.886299625196,0,0
1615,955.535022225372,18441.886299625196,0,0
1620,955.0693579539959,18441.886299625196,0,0
1625,954.96376305082,18441.886299625196,0,0
1630,955.3098679127961,18441.886299625196,0,0
1635,954.5180296104613,18441.886299625196,0,0
1640,954.4024503594356,18441.886299625196,0,0
1645,954.7080709156629,18441.886299625196,0,0
1650,955.5406500980498,18441.886299625196,0,0
1655,955.1368309876153,18441.886299625196,0,0
1660,954.4322081709564,18441.886299625196,0,0
1665,954.9481178775635,18441.886299625196,0,0
1670,954.8148268033623,18441.886299625196,0,0
1675,953.8008611417503,18441.886299625196,0,0
1680,954.8536956201874,18441.886299625196,0,0
1685,955.4419843381912,18441.886299625196,0,0
1690,955.3434327116928,18441.886299625196,0,0
1695,954.1640805389758,18441.886299625196,0,0
1700,954.9953360094213,18441.886299625196,0,0
1705,955.3986603766825,18441.886299625196,0,0
1710,954.6291430982245,18441.886299625196,0,0
1715,955.4378580773355,18441.886299625196,0,0
1720,954.9518651777631,18441.886299625196,0,0
1725,955.1243665010369,18441.886299625196,0,0
1730,954.6957112497054,18441.886299625196,0,0
1735,955.0213829295643,18441.886299625196,0,0
1740,954.6149131366424,18441.886299625196,0,0
1745,954.7712787556717,18441.886299625196,0,0
1750,955.5883958847364,18441.886299625196,0,0
1755,954.4731047946451,18441.886299625196,0,0
1760,954.4855522888225,18441.886299625196,0,0
1765,955.134862889159,18441.886299625196,0,0
1770,955.5996529538679,18441.886299625196,0,0
1775,955.4284803442985,18441.886299625196,0,0
1780,955.4590524321603,18441.886299625196,0,0
1785,954.650207964892,18441.886299625196,0,0
1790,954.1315337765834,18441.886299625196,0,0
1795,954.6468375237541,0,0,0
1800,955.0224135923174,955.448173796301,0,0
1805,954.5407744108999,955.4524877084673,0,0
1810,954.8610014378451,955.1373933029498,0,0
1815,955.2621499545493,955.0840700110997,0,0
1820,955.2112498042328,955.5580969246544,0,0
1825,954.9375319133909,955.3673420375407,0,0
1830,954.3551037047101,954.8520096781427,0,0
1835,954.4656177364739,954.4288392689584,0,0
1840,954.163425840838,955.242276690513,0,0
1845,954.9254473385315,954.5770934588184,0,0
1850,954.385139278818,954.1912045371804,0,0
1855,954.6973030069133,954.7951594512083,0,0
1860,954.1143260409316,955.4680556284903,0,0
1865,954.8759880803534,954.8186667142722,0,0
1870,954.8552879042517,954.891162535192,0,0
1875,954.7478674687096,955.1273654455312,0,0
1880,954.8460152657558,954.9335036877868,0,0
1885,954.1926075445498,954.5909478444601,0,0
1890,955.1049675337609,954.8844182734998,0,0
1895,955.0822895469611,954.7166854175521,0,0
1900,954.4703907224857,955.5322083138931,0,0
1905,955.1060920900574,954.6984266034325,0,0
1910,955.2835240104603,954.6759551755434,0,0
1915,955.6715168289584,955.0421840084581,0,0
1920,954.873084381624,954.4639331645727,0,0
1925,955.4070998012975,955.2391832851082,0,0
1930,954.5726938394024,954.8376794111355,0,0
1935,955.3716552198147,954.7350385704185,0,0
1940,955.3059302976719,955.2095625993184,0,0
1945,954.7889784507227,955.4014735016546,0,0
1950,955.3724991078583,954.5826164427287,0,0
1955,954.771653345595,954.4565398359915,0,0
1960,955.2060944746008,954.9848426877006,0,0
1965,954.3687645102591,955.6326752200775,0,0
1970,955.3788751990401,955.0319707528905,0,0
1975,954.4075970180204,955.004517855093,0,0
1980,955.7358845135388,954.792068940962,0,0
1985,954.5642691494493,955.5100727882423,0,0
1990,955.0340321263274,955.1450783455447,0,0
1995,955.2134056858529,954.1400443535048,0,0
2000,954.9812825059369,955.4081312967533,0,0
2005,954.8733653839553,954.9879344460309,0,0
2010,954.1709081588093,954.7800816965803,0,0
2015,954.8345886256237,954.2924187215993,0,0
2020,954.5216799375095,954.9488673352507,0,0
2025,954.5491986861418,954.9450263770383,0,0
2030,953.8060947723609,955.3801879342601,0,0
2035,954.8845119431486,955.1535132907479,0,0
2040,954.9957107751763,955.4204156411186,0,0
2045,955.2843677428168,954.6107004004572,0,0
2050,954.8325281130655,955.8292612156505,0,0
2055,955.2617749796495,955.0895988631064,0,0
2060,955.4031613845895,955.0238190451112,0,0
2065,955.4387020823384,954.6920595914606,0,0
2070,955.0559581944914,954.9396865596411,0,0
2075,955.2960864018737,955.2104999346462,0,0
2080,955.1685091167425,954.7863562322692,0,0
2085,955.6279844181955,955.4372016300308,0,0
2090,954.9916820587252,955.2145304975179,0,0
2095,955.0637356314959,954.3906600417316,0,0
2100,954.6525485630181,954.6139769698325,0,0
2105,955.4779968548777,954.5340350977662,0,0
2110,954.3202049293351,955.2761179792878,0,0
2115,954.7752119645272,954.827564187512,0,0
2120,954.5516323933394,955.0057358682931,0,0
